Call Departure Rate, Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
1,0.9997553156586685,0.9995106911877643,0.3480208590115812,0.12111851830715904
2,0.9194522343623431,0.8453924112739021,0.03641392696238259,0.0013259740768217366
3,0.5378411912506187,0.2892731470058837,0.0014224690559524098,2.023418215142141e-06
4,0.22271564593156515,0.04960225894271419,5.451324451222537e-05,2.9716938272496782e-09
5,0.08373846275067935,0.007012130143846966,2.814111571339235e-06,7.919223935945577e-12
6,0.03178298428621372,0.0010101580901376896,1.9950010657385706e-07,3.9800292522979416e-14
7,0.012626695428753738,0.0001594334374505082,1.867252498191111e-08,3.4866318920009243e-16
8,0.005303097624092447,2.812284441065407e-05,2.2080965741482273e-09,4.875690480765048e-18
9,0.002354913200273416,5.545616180822029e-06,3.1763072504282473e-10,1.0088927749122705e-19
10,0.0011019126001566683,1.2142113783840277e-06,5.389359268217673e-11,2.9045193321923025e-21
11,0.000540881094654986,2.925523585551723e-07,1.052270119799268e-11,1.107272405022334e-22
12,0.0002772406997528761,7.68624055994641e-08,2.3177108501827442e-12,5.371783585054636e-24
13,0.00014776059649623352,2.183319387692168e-08,5.666765917603449e-13,3.2112235964910537e-25
14,8.157075431690333e-05,6.653787959828608e-09,1.5178490976333256e-13,2.303865883186231e-26
15,4.6483744677338465e-05,2.1607385192280363e-09,4.405611453263787e-14,1.9409412277128658e-27
16,2.72616471922056e-05,7.431974076323023e-10,1.3731517285402391e-14,1.885545669592984e-28
17,1.6411169364055355e-05,2.693264798957008e-10,4.560787930435333e-15,2.0800786546403383e-29
18,1.0117062330340726e-05,1.0235495019599794e-10,1.603784802472804e-15,2.572125692642674e-30
19,6.373944483131542e-06,4.062716827404326e-11,5.93772641798763e-16,3.5256595014867137e-31
20,4.096534008512521e-06,1.6781590882899753e-11,2.3034495006077765e-16,5.305879601850161e-32
21,2.6815409891170934e-06,7.19066207631496e-12,9.324246546226551e-17,8.694157365481606e-33
22,1.7852310053614787e-06,3.1870497425039302e-12,3.9241623519904917e-17,1.5399050164779218e-33
23,1.2072463948623954e-06,1.457443857908234e-12,1.7115616526990352e-17,2.9294432909897884e-34
24,8.283165182574271e-07,6.861082544181085e-13,7.714848368988764e-18,5.951888535648703e-35
25,5.760410684644573e-07,3.318233125576652e-13,3.5848152591633045e-18,1.285090044232978e-35
26,4.05666444754496e-07,1.6456526439974883e-13,1.713343156522908e-18,2.9355447720037314e-36
27,2.890570246652075e-07,8.355396350830372e-14,8.406120741513206e-19,7.06628659208974e-37
28,2.0824322095336147e-07,4.3365239073029595e-14,4.2261429986990903e-19,1.7860284645452763e-37
29,1.5157759403863526e-07,2.2975767014541242e-14,2.1736530232270043e-19,4.724767465383779e-38
30,1.1140538024235446e-07,1.2411158746943302e-14,1.142091120269303e-19,1.3043721269979562e-38
31,8.263003257480494e-08,6.8277222833132955e-15,6.122114841536375e-20,3.748029013295907e-39
32,6.181653339975912e-08,3.821283801563599e-15,3.344026327883119e-20,1.1182512081575298e-39
33,4.662289457216006e-08,2.1736942982867484e-15,1.8592096646264842e-20,3.4566605770404325e-40
34,3.543489666358108e-08,1.2556319015586607e-15,1.051092596083076e-20,1.1047956455406355e-40
35,2.7128440550840624e-08,7.359522867204965e-16,6.036803381729045e-21,3.6442995069654367e-41
36,2.0913078568789905e-08,4.3735685522437787e-16,3.519315867469608e-21,1.2385584175023108e-41
37,1.622782903108868e-08,2.633424350622381e-16,2.0809190636508838e-21,4.330224149465572e-42
38,1.267105990379645e-08,1.6055575908559463e-16,1.247051342423658e-21,1.5551370506406024e-42
39,9.952820570823453e-09,9.905863731500413e-17,7.569296409243697e-22,5.729424813098774e-43
