Call Departure Rate, Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
1,0.08199310447303439,0.006722869181125906,0.0018659844286371104,3.481897887916176e-06
2,0.00022616910613361597,5.1152464569277916e-08,2.63685805487229e-07,6.953020401544799e-14
3,2.3922866581431613e-06,5.723035454729564e-12,4.19841795375518e-10,1.7626713314412862e-19
4,6.915242836193208e-08,4.7820583483519415e-15,3.0635361300885456e-12,9.385253620357389e-24
5,3.87121159442357e-09,1.4986279208799567e-17,5.82331103623033e-14,3.391095142468058e-27
6,3.426435906560675e-10,1.174046302176836e-19,2.1198732454077177e-15,4.4938625765952434e-30
7,4.23629062036112e-11,1.7946158220159553e-21,1.2324733839615902e-16,1.5189906421736804e-32
8,6.7519546247340816e-12,4.5588891254468016e-23,1.0197440868927598e-17,1.0398780027527178e-34
9,1.3135005360847123e-12,1.7252836582948367e-24,1.1111160596898683e-18,1.2345788981007184e-36
10,3.0000049463609544e-13,9.000029678190047e-26,1.5096092768907057e-19,2.2789201688744125e-38
11,7.818245328784987e-14,6.1124960021068824e-27,2.457492320557681e-20,6.0392685055998e-40
12,2.275215577229936e-14,5.17660592286978e-28,4.6518108648603085e-21,2.1639344322431974e-41
13,7.271272607100679e-15,5.287140532677096e-29,1.000505115252709e-21,1.0010104856468001e-42
14,2.5185342359863782e-15,6.343014697835453e-30,2.40097689132769e-22,5.764690032689472e-44
15,9.354848407449676e-16,8.751318872636271e-31,6.335840011376869e-23,4.014286864976289e-45
16,3.6942728089328826e-16,1.3647651586820793e-31,1.8168761901405227e-23,3.3010390902994787e-46
17,1.5400303924436706e-16,2.3716936096502486e-32,5.606776805388178e-24,3.143594614543863e-47
18,6.736780008185981e-17,4.538420487869401e-33,1.846861056289327e-24,3.4108957612380393e-48
19,3.0769229943120844e-17,9.467455112926592e-34,6.4492761864790275e-25,4.159316332948534e-49
